orden,interseccion,color_todos,color_les,color_fall,color_transp,
32,Calzada Del Valle con Rio Grijalva,#ed5732,#ed5732,#ed5732,#ed5732,
33,Morones Prieto con Francisco Villa,#ed7a32,#ed7a32,#ed7a32,#ed7a32,
34,Calzada Del Valle con Calzada San Pedro,#ed7a32,#ed7a32,#ed7a32,#ed7a32,
35,Jose Vasconcelos con Morones Prieto,#ed7a32,#ed7a32,#ed7a32,#ed7a32,
36,Morones Prieto con Jimenez,#ed7a32,#ed7a32,#ed7a32,#ed7a32,
37,Eugenio Garza Laguera con Rufino Tamayo,#ed7a32,#ed7a32,#ed7a32,#ed7a32,
38,Jose Vasconcelos con Benito Juarez,#ed7a32,#ed7a32,#ed7a32,#ed7a32,
39,Lazaro Cardenas con Rio Tamuin,#ed7a32,#ed7a32,#ed7a32,#ed7a32,
40,Lazaro Cardenas con Pedro Ramirez Vazquez,#ed7a32,#ed7a32,#ed7a32,#ed7a32,
41,Alfonso Reyes con Padre Mier,#ed7a32,#ed7a32,#ed7a32,#ed7a32,
42,Jose Vasconcelos con Neil Armstrong,#42f581,#c6cc14,#f54242,#00FFFFFF,cut
43,Gomez Morin con Roberto Garza Sada,#42f581,#c6cc14,#f54242,#00FFFFFF,
44,Morones Prieto con Niños Heroes,#42f581,#c6cc14,#f54242,#00FFFFFF,
45,Jose Vasconcelos con Treviño,#42f581,#c6cc14,#f54242,#00FFFFFF,
46,Morones Prieto con Hortelanos,#42f581,#c6cc14,#f54242,#00FFFFFF,
47,Callejon De Los Ayala con Rio Jordan,#42f581,#c6cc14,#f54242,#00FFFFFF,
48,Calzada Del Valle con Humberto Lobo,#42f581,#c6cc14,#f54242,#00FFFFFF,
49,Morones Prieto con Monte Palatino,#42f581,#c6cc14,#f54242,#00FFFFFF,
50,Lazaro Cardenas con Rufino Tamayo,#42f581,#c6cc14,#f54242,#00FFFFFF,
51,Jose Vasconcelos con Gomez Morin,#42f581,#c6cc14,#f54242,#00FFFFFF,
52,Gomez Morin con Rio Mississippi,#42f581,#c6cc14,#f54242,#00FFFFFF,
53,Morones Prieto con Calzada San Pedro,#42f581,#c6cc14,#f54242,#00FFFFFF,
54,Jose Vasconcelos con Manuel Doblado,#42f581,#c6cc14,#f54242,#00FFFFFF,
55,Lazaro Cardenas con Real San Agustin,#42f581,#c6cc14,#f54242,#00FFFFFF,
56,Santa Barbara con Callejon De Capellania,#42f581,#c6cc14,#f54242,#00FFFFFF,
57,Jose Vasconcelos con Rio Suchiate,#42f581,#c6cc14,#f54242,#00FFFFFF,
58,Jose Vasconcelos con Rio Moctezuma,#42f581,#c6cc14,#f54242,#00FFFFFF,
59,Jose Vasconcelos con Santa Barbara,#42f581,#c6cc14,#f54242,#00FFFFFF,
60,Benito Juarez con Callejon De Capellania,#42f581,#c6cc14,#f54242,#00FFFFFF,
61,Calzada Del Valle con Rio Suchiate,#42f581,#c6cc14,#f54242,#00FFFFFF,
62,Jose Vasconcelos con Jeronimo Siller,#42f581,#c6cc14,#f54242,#00FFFFFF,
63,Lazaro Cardenas con Paseo Olga,#42f581,#c6cc14,#f54242,#00FFFFFF,
64,Alfonso Reyes con Ricardo Margain,#42f581,#c6cc14,#f54242,#00FFFFFF,
65,Jose Vasconcelos con Bosques De Canada,#42f581,#c6cc14,#f54242,#00FFFFFF,
66,Batallon De San Patricio con Diego Rivera,#42f581,#c6cc14,#f54242,#00FFFFFF,
67,Alfonso Reyes con Priv. Campestre,#42f581,#c6cc14,#f54242,#00FFFFFF,
68,Morones Prieto con San Patricio,#42f581,#c6cc14,#f54242,#00FFFFFF,
69,Jose Vasconcelos con Rio Lys,#42f581,#c6cc14,#f54242,#00FFFFFF,
70,Jose Vasconcelos con Ricardo Margain,#42f581,#c6cc14,#f54242,#00FFFFFF,
71,Jose Vasconcelos con Humberto Lobo,#42f581,#c6cc14,#f54242,#00FFFFFF,
72,Gomez Morin con Calzada Del Valle,#42f581,#c6cc14,#f54242,#00FFFFFF,
73,Gomez Morin con Magnolia,#42f581,#c6cc14,#f54242,#00FFFFFF,
74,Jose Vasconcelos con Rio Bravo,#42f581,#c6cc14,#f54242,#00FFFFFF,
75,Jose Vasconcelos con Conquistadores,#42f581,#c6cc14,#f54242,#00FFFFFF,
76,Calzada Del Valle con Rio Tamazunchale,#42f581,#c6cc14,#f54242,#00FFFFFF,
77,Alfonso Reyes con Real San Agustin,#42f581,#c6cc14,#f54242,#00FFFFFF,
78,Corregidora con Francisco Villa,#42f581,#c6cc14,#f54242,#00FFFFFF,
79,Alfonso Reyes con Matamoros,#42f581,#c6cc14,#f54242,#00FFFFFF,
80,Diaz Ordaz con Hidalgo,#42f581,#c6cc14,#f54242,#00FFFFFF,
81,Gomez Morin con Roble,#42f581,#c6cc14,#f54242,#00FFFFFF,
82,Jose Vasconcelos con San Agustin,#42f581,#c6cc14,#f54242,#00FFFFFF,
83,Jose Vasconcelos con Rosales,#42f581,#c6cc14,#f54242,#00FFFFFF,
84,Jose Vasconcelos con Olmos,#42f581,#c6cc14,#f54242,#00FFFFFF,
85,Alfonso Reyes con Corregidora,#42f581,#c6cc14,#f54242,#00FFFFFF,
86,Lazaro Cardenas con Los Arcangeles,#42f581,#c6cc14,#f54242,#00FFFFFF,
87,Jose Vasconcelos con Gral Naranjo,#42f581,#c6cc14,#f54242,#00FFFFFF,
88,Calzada Del Valle con Rio Bravo,#42f581,#c6cc14,#f54242,#00FFFFFF,
89,Calzada San Pedro con Rio Volga,#42f581,#c6cc14,#f54242,#00FFFFFF,
90,Real San Agustin con Montes Rocallosos,#42f581,#c6cc14,#f54242,#00FFFFFF,
91,Jose Vasconcelos con Zaragoza,#42f581,#c6cc14,#f54242,#00FFFFFF,
92,Calzada San Pedro con Rio Amazonas,#42f581,#c6cc14,#f54242,#00FFFFFF,
93,Alfonso Reyes con Rio Akumal,#42f581,#c6cc14,#f54242,#00FFFFFF,
94,Alfonso Reyes con Gomez Morin,#42f581,#c6cc14,#f54242,#00FFFFFF,
95,Santa Barbara con Callejon De Los Ayala,#42f581,#c6cc14,#f54242,#00FFFFFF,
96,Corregidora con Manuel J. Clouthier,#42f581,#c6cc14,#f54242,#00FFFFFF,
97,Jose Vasconcelos con Matamoros,#42f581,#c6cc14,#f54242,#00FFFFFF,
98,Jose Vasconcelos con Guillermo Prieto,#42f581,#c6cc14,#f54242,#00FFFFFF,
99,Eugenio Garza Laguera con Jesus Reyes Fereyra,#42f581,#c6cc14,#f54242,#00FFFFFF,
100,Jose Vasconcelos con Bosques Del Valle,#42f581,#c6cc14,#f54242,#00FFFFFF,
101,Morones Prieto con Udem,#42f581,#c6cc14,#f54242,#00FFFFFF,
102,Ricardo Margain con Eucalipto,#42f581,#c6cc14,#f54242,#00FFFFFF,
103,Corregidora con Callejon De Los Arizpe,#42f581,#c6cc14,#f54242,#00FFFFFF,
104,Jose Vasconcelos con Rio Rosas,#42f581,#c6cc14,#f54242,#00FFFFFF,
105,Rio Tamazunchale con Rio Volga,#42f581,#c6cc14,#f54242,#00FFFFFF,
106,Eugenio Garza Laguera con Batallon De San Patricio,#42f581,#c6cc14,#f54242,#00FFFFFF,
107,Enrique Garcia Leal con Zinc,#42f581,#c6cc14,#f54242,#00FFFFFF,
108,Gomez Morin con Rio Missouri,#42f581,#c6cc14,#f54242,#00FFFFFF,
109,Lazaro Cardenas con David A. Siqueiros,#42f581,#c6cc14,#f54242,#00FFFFFF,
110,Calzada Del Valle con Rio Tamesis,#42f581,#c6cc14,#f54242,#00FFFFFF,
111,Rio Mississippi con Rio Grijalva,#42f581,#c6cc14,#f54242,#00FFFFFF,
112,Alfonso Reyes con Genaro Garza Garcia,#42f581,#c6cc14,#f54242,#00FFFFFF,
113,Alfonso Reyes con Neil Armstrong,#42f581,#c6cc14,#f54242,#00FFFFFF,
114,Alfonso Reyes con Jeronimo Siller,#42f581,#c6cc14,#f54242,#00FFFFFF,
115,Lazaro Cardenas con Ricardo Margain,#42f581,#c6cc14,#f54242,#00FFFFFF,
116,Manuel J. Clouthier con Oro,#42f581,#c6cc14,#f54242,#00FFFFFF,
117,Jose Vasconcelos con Degollado,#42f581,#c6cc14,#f54242,#00FFFFFF,
118,Alfonso Reyes con Las Sendas,#42f581,#c6cc14,#f54242,#00FFFFFF,
119,Jose Vasconcelos con Genaro Garza Garcia,#42f581,#c6cc14,#f54242,#00FFFFFF,
120,Jose Vasconcelos con Juan I. Ramon,#42f581,#c6cc14,#f54242,#00FFFFFF,
121,Jose Vasconcelos con Corregidora,#42f581,#c6cc14,#f54242,#00FFFFFF,
122,Benito Juarez con Reforma,#42f581,#c6cc14,#f54242,#00FFFFFF,
123,Alfonso Reyes con Lomas Del Valle,#42f581,#c6cc14,#f54242,#00FFFFFF,
124,Jose Vasconcelos con Los Aldama,#42f581,#c6cc14,#f54242,#00FFFFFF,
125,Jose Vasconcelos con Rio Sena,#42f581,#c6cc14,#f54242,#00FFFFFF,
126,Jose Vasconcelos con Guerrero,#42f581,#c6cc14,#f54242,#00FFFFFF,
127,Jose Vasconcelos con Morelos,#42f581,#c6cc14,#f54242,#00FFFFFF,
128,Santa Barbara con Santa Monica,#42f581,#c6cc14,#f54242,#00FFFFFF,
129,Humberto Lobo con Rio Orinoco,#42f581,#c6cc14,#f54242,#00FFFFFF,
130,Jose Vasconcelos con Manuel Gonzalez,#42f581,#c6cc14,#f54242,#00FFFFFF,
131,Las Torres con Oro,#42f581,#c6cc14,#f54242,#00FFFFFF,
132,L. Garza Ayala con Diego Saldivar,#42f581,#c6cc14,#f54242,#00FFFFFF,
133,Rio Suchiate con Rio Sena,#42f581,#c6cc14,#f54242,#00FFFFFF,
134,Jimenez con Las Palmas,#42f581,#c6cc14,#f54242,#00FFFFFF,
135,Gomez Morin con Priv. Encinos,#42f581,#c6cc14,#f54242,#00FFFFFF,
136,Roberto Garza Sada con Sierra Azul,#42f581,#c6cc14,#f54242,#00FFFFFF,
137,Morones Prieto con Santa Catarina,#42f581,#c6cc14,#f54242,#00FFFFFF,
138,Calzada Del Valle con La Alianza,#42f581,#c6cc14,#f54242,#00FFFFFF,
139,Humberto Lobo con Rio Elba,#42f581,#c6cc14,#f54242,#00FFFFFF,
140,Rio Rosas con Rio Guadalquivir,#42f581,#c6cc14,#f54242,#00FFFFFF,
141,Corregidora con 16 De Sep.,#42f581,#c6cc14,#f54242,#00FFFFFF,
142,Roberto Garza Sada con Alejandrina,#42f581,#c6cc14,#f54242,#00FFFFFF,
143,Calzada Del Valle con Rio Moctezuma,#42f581,#c6cc14,#f54242,#00FFFFFF,
144,Real San Agustin con Batallon De San Patricio,#42f581,#c6cc14,#f54242,#00FFFFFF,
145,Alfonso Reyes con Jimenez,#42f581,#c6cc14,#f54242,#00FFFFFF,
146,Santa Barbara con Porfirio Diaz,#42f581,#c6cc14,#f54242,#00FFFFFF,
147,Jose Vasconcelos con Rio Tamesis,#42f581,#c6cc14,#f54242,#00FFFFFF,
148,Batallon De San Patricio con Maria Izquierdo,#42f581,#c6cc14,#f54242,#00FFFFFF,
149,Alfonso Reyes con Las Olimpiadas,#42f581,#c6cc14,#f54242,#00FFFFFF,
150,Lazaro Cardenas con Casolar,#42f581,#c6cc14,#f54242,#00FFFFFF,
151,Jose Vasconcelos con Sabino,#42f581,#c6cc14,#f54242,#00FFFFFF,
152,Jose Vasconcelos con Plutarco Elias Calles,#42f581,#c6cc14,#f54242,#00FFFFFF,
153,Jose Vasconcelos con Priv. Jesus Mata,#42f581,#c6cc14,#f54242,#00FFFFFF,
154,Corregidora con Enrique Garcia Leal,#42f581,#c6cc14,#f54242,#00FFFFFF,
155,Alfonso Reyes con Dublin Poniente,#42f581,#c6cc14,#f54242,#00FFFFFF,
156,Morones Prieto con Libertad,#42f581,#c6cc14,#f54242,#00FFFFFF,
157,Roberto Garza Sada con Lomas Del Valle,#42f581,#c6cc14,#f54242,#00FFFFFF,
158,Alfonso Reyes con Lopez Mateos,#42f581,#c6cc14,#f54242,#00FFFFFF,
159,Calzada Del Valle con Rio Rosas,#42f581,#c6cc14,#f54242,#00FFFFFF,
160,Jose Vasconcelos con Rio Balsas,#42f581,#c6cc14,#f54242,#00FFFFFF,
161,Jimenez con 5 De Mayo,#42f581,#c6cc14,#f54242,#00FFFFFF,
162,Santa Barbara con Callejon De Los Arizpe,#42f581,#c6cc14,#f54242,#00FFFFFF,
163,Alfonso Reyes con Guillermo Prieto,#42f581,#c6cc14,#f54242,#00FFFFFF,
164,Rio Orinoco con Rio Tamazunchale,#42f581,#c6cc14,#f54242,#00FFFFFF,
165,Alfonso Reyes con Dublin Oriente,#42f581,#c6cc14,#f54242,#00FFFFFF,
166,Rio Missouri con Olivos,#42f581,#c6cc14,#f54242,#00FFFFFF,
167,Alfonso Reyes con Bosques Del Valle,#42f581,#c6cc14,#f54242,#00FFFFFF,
168,Humberto Lobo con Rio Sena,#42f581,#c6cc14,#f54242,#00FFFFFF,
169,Jose Vasconcelos con Calzada San Pedro,#42f581,#c6cc14,#f54242,#00FFFFFF,
170,Gomez Morin con Rio Amazonas,#42f581,#c6cc14,#f54242,#00FFFFFF,
171,Corregidora con Plan Del Rio,#42f581,#c6cc14,#f54242,#00FFFFFF,
172,Rufino Tamayo con Humberto Junco,#42f581,#c6cc14,#f54242,#00FFFFFF,
173,Jose Vasconcelos con Privada Rio Rosas,#42f581,#c6cc14,#f54242,#00FFFFFF,
174,Ricardo Margain con Canelos,#42f581,#c6cc14,#f54242,#00FFFFFF,
175,Jimenez con L. Garza Ayala,#42f581,#c6cc14,#f54242,#00FFFFFF,
176,Rio Suchiate con Rio Amazonas,#42f581,#c6cc14,#f54242,#00FFFFFF,
177,Grafito con Fierro,#42f581,#c6cc14,#f54242,#00FFFFFF,
178,Calzada Del Valle con Rio Jordan,#42f581,#c6cc14,#f54242,#00FFFFFF,
179,Alfonso Reyes con Vereda,#42f581,#c6cc14,#f54242,#00FFFFFF,
180,Rio Mississippi con Rio Rosas,#42f581,#c6cc14,#f54242,#00FFFFFF,
181,Rio Mississippi con Rio Tamazunchale,#42f581,#c6cc14,#f54242,#00FFFFFF,
182,Emiliano Zapata con Niceforo Zambrano,#42f581,#c6cc14,#f54242,#00FFFFFF,
183,Enrique Garcia Leal con 20 De Noviembre,#42f581,#c6cc14,#f54242,#00FFFFFF,
184,Real San Agustin con Lampazos,#42f581,#c6cc14,#f54242,#00FFFFFF,
185,Cobalto con Fierro,#42f581,#c6cc14,#f54242,#00FFFFFF,
186,Corregidora con Libertad,#42f581,#c6cc14,#f54242,#00FFFFFF,
187,Ricardo Margain con Rio Pantepec,#42f581,#c6cc14,#f54242,#00FFFFFF,
188,Alfonso Reyes con Bosques De Cuernavaca,#42f581,#c6cc14,#f54242,#00FFFFFF,
189,Corregidora con 5 De Mayo,#42f581,#c6cc14,#f54242,#00FFFFFF,
190,Rio Orinoco con Rio Tamesis,#42f581,#c6cc14,#f54242,#00FFFFFF,
191,Cobalto con Zinc,#42f581,#c6cc14,#f54242,#00FFFFFF,
192,Ricardo Margain con Rio Parana,#42f581,#c6cc14,#f54242,#00FFFFFF,
193,Rio Suchiate con Rio Volga,#42f581,#c6cc14,#f54242,#00FFFFFF,
194,Rio Suchiate con Via Triumphalis,#42f581,#c6cc14,#f54242,#00FFFFFF,
195,Real San Agustin con San Agustin,#42f581,#c6cc14,#f54242,#00FFFFFF,
196,Emiliano Zapata con Plan De Gpe.,#42f581,#c6cc14,#f54242,#00FFFFFF,
197,Roberto Garza Sada con La Riviera,#42f581,#c6cc14,#f54242,#00FFFFFF,
198,Rio Orinoco con Rio Moctezuma,#42f581,#c6cc14,#f54242,#00FFFFFF,
199,Morones Prieto con Via Popilia,#42f581,#c6cc14,#f54242,#00FFFFFF,
200,Gomez Morin con Rio De La Plata,#42f581,#c6cc14,#f54242,#00FFFFFF,
201,Jose Vasconcelos con Monte Icutu,#42f581,#c6cc14,#f54242,#00FFFFFF,
202,Ricardo Margain con De La Industria,#42f581,#c6cc14,#f54242,#00FFFFFF,
203,Gomez Morin con Rio Manzanares,#42f581,#c6cc14,#f54242,#00FFFFFF,
204,Corregidora con Lucio Blanco,#42f581,#c6cc14,#f54242,#00FFFFFF,
205,Alfonso Reyes con Santa Barbara,#42f581,#c6cc14,#f54242,#00FFFFFF,
206,Humberto Lobo con Rio Madeira,#42f581,#c6cc14,#f54242,#00FFFFFF,
207,Calzada San Pedro con Fuentes Del Valle,#42f581,#c6cc14,#f54242,#00FFFFFF,
208,Calzada Del Valle con Rio Balsas,#42f581,#c6cc14,#f54242,#00FFFFFF,
209,Calzada San Pedro con Via Angelica,#42f581,#c6cc14,#f54242,#00FFFFFF,
210,Jose Vasconcelos con Rio Nazas,#42f581,#c6cc14,#f54242,#00FFFFFF,
211,Jose Vasconcelos con J. M. Montemayor,#42f581,#c6cc14,#f54242,#00FFFFFF,
212,Humberto Lobo con Rio Mississippi,#42f581,#c6cc14,#f54242,#00FFFFFF,
213,Jose Vasconcelos con Jimenez,#42f581,#c6cc14,#f54242,#00FFFFFF,
214,Jose Vasconcelos con Rio Mosa,#42f581,#c6cc14,#f54242,#00FFFFFF,
215,Morones Prieto con Diego Saldivar,#42f581,#c6cc14,#f54242,#00FFFFFF,
216,Jose Vasconcelos con Diego Saldivar,#42f581,#c6cc14,#f54242,#00FFFFFF,
217,Jose Vasconcelos con 20 De Noviembre,#42f581,#c6cc14,#f54242,#00FFFFFF,
218,Ricardo Margain con Sofia,#42f581,#c6cc14,#f54242,#00FFFFFF,
219,Benito Juarez con Libertad,#42f581,#c6cc14,#f54242,#00FFFFFF,
220,Emiliano Zapata con Pedro N. Perales,#42f581,#c6cc14,#f54242,#00FFFFFF,
221,Jose Vasconcelos con Bosques De Chapultepec,#42f581,#c6cc14,#f54242,#00FFFFFF,
222,Alfonso Reyes con Bosques Del Olivo,#42f581,#c6cc14,#f54242,#00FFFFFF,
223,Humberto Lobo con Rio De La Plata,#42f581,#c6cc14,#f54242,#00FFFFFF,
224,Jose Vasconcelos con Rio Tamazunchale,#42f581,#c6cc14,#f54242,#00FFFFFF,
225,Real San Agustin con Montes Apalaches,#42f581,#c6cc14,#f54242,#00FFFFFF,
226,Ricardo Margain con Rio Missouri,#42f581,#c6cc14,#f54242,#00FFFFFF,
227,Jose Vasconcelos con Lomas Del Valle,#42f581,#c6cc14,#f54242,#00FFFFFF,
228,Roberto Garza Sada con Jeronimo Siller,#42f581,#c6cc14,#f54242,#00FFFFFF,
229,Ricardo Margain con Arbol,#42f581,#c6cc14,#f54242,#00FFFFFF,
230,Jose Vasconcelos con Rio Tigris,#42f581,#c6cc14,#f54242,#00FFFFFF,
231,Lazaro Cardenas con Montes Carpatos,#42f581,#c6cc14,#f54242,#00FFFFFF,
232,Manuel J. Clouthier con Bernardo Reyes,#42f581,#c6cc14,#f54242,#00FFFFFF,
233,Emiliano Zapata con Jose Benitez,#42f581,#c6cc14,#f54242,#00FFFFFF,
234,Humberto Lobo con Rio Danubio,#42f581,#c6cc14,#f54242,#00FFFFFF,
235,Grafito con Zinc,#42f581,#c6cc14,#f54242,#00FFFFFF,
236,Manuel J. Clouthier con Cobre,#42f581,#c6cc14,#f54242,#00FFFFFF,
237,Alfonso Reyes con Sierra Verde,#42f581,#c6cc14,#f54242,#00FFFFFF,
238,Manuel J. Clouthier con Plata,#42f581,#c6cc14,#f54242,#00FFFFFF,
239,Jose Vasconcelos con Lic. Verdad,#42f581,#c6cc14,#f54242,#00FFFFFF,
240,Alfonso Reyes con Priv. La Herradura,#42f581,#c6cc14,#f54242,#00FFFFFF,
241,Bosques Del Valle con Bosques Del Alamo,#42f581,#c6cc14,#f54242,#00FFFFFF,
242,Manuel J. Clouthier con Cromo,#42f581,#c6cc14,#f54242,#00FFFFFF,
243,Alfonso Reyes con Privada Centenario,#42f581,#c6cc14,#f54242,#00FFFFFF,
244,Manuel J. Clouthier con Benjamin Hill,#42f581,#c6cc14,#f54242,#00FFFFFF,
245,Roberto Garza Sada con Alberto R. Gonzalez,#42f581,#c6cc14,#f54242,#00FFFFFF,
246,Lomas Del Valle con Cascada,#42f581,#c6cc14,#f54242,#00FFFFFF,
247,Manuel J. Clouthier con Alejandro Vi,#42f581,#c6cc14,#f54242,#00FFFFFF,
248,Eugenio Garza Laguera con Vereda De Las Privanzas,#42f581,#c6cc14,#f54242,#00FFFFFF,
249,Gomez Morin con Los Barragan,#42f581,#c6cc14,#f54242,#00FFFFFF,
250,Lomas Del Valle con Rio Pilon,#42f581,#c6cc14,#f54242,#00FFFFFF,
251,Manuel J. Clouthier con Division Del Norte,#42f581,#c6cc14,#f54242,#00FFFFFF,
252,Zinc con Plomo,#42f581,#c6cc14,#f54242,#00FFFFFF,
253,Jose Vasconcelos con Allende,#42f581,#c6cc14,#f54242,#00FFFFFF,
254,Eugenio Garza Laguera con La Ceiba,#42f581,#c6cc14,#f54242,#00FFFFFF,
255,Calzada San Pedro con Via Triumphalis,#42f581,#c6cc14,#f54242,#00FFFFFF,
256,Emiliano Zapata con Antonio I. Villarreal,#42f581,#c6cc14,#f54242,#00FFFFFF,
257,Jimenez con Porfirio Diaz,#42f581,#c6cc14,#f54242,#00FFFFFF,
258,Corregidora con Reforma,#42f581,#c6cc14,#f54242,#00FFFFFF,
259,Rio Missouri con Rio Bravo,#42f581,#c6cc14,#f54242,#00FFFFFF,
260,Gomez Morin con Gral. Treviño,#42f581,#c6cc14,#f54242,#00FFFFFF,
261,Roberto Garza Sada con Rio Suchiate,#42f581,#c6cc14,#f54242,#00FFFFFF,
262,Humberto Lobo con Rio Guadalquivir,#42f581,#c6cc14,#f54242,#00FFFFFF,
263,Grafito con Oro,#42f581,#c6cc14,#f54242,#00FFFFFF,
264,Emiliano Zapata con Flores Magon,#42f581,#c6cc14,#f54242,#00FFFFFF,
265,Benito Juarez con Callejon De Los Ayala,#42f581,#c6cc14,#f54242,#00FFFFFF,
266,Cobalto con Oro,#42f581,#c6cc14,#f54242,#00FFFFFF,
267,Calzada Del Valle con Rio Caura,#42f581,#c6cc14,#f54242,#00FFFFFF,
268,Alfonso Reyes con Gruta,#42f581,#c6cc14,#f54242,#00FFFFFF,
269,L. Garza Ayala con J. M. Montemayor,#42f581,#c6cc14,#f54242,#00FFFFFF,
270,Porfirio Diaz con Manuel Gonzalez,#42f581,#c6cc14,#f54242,#00FFFFFF,
271,Porfirio Diaz con Guerrero,#42f581,#c6cc14,#f54242,#00FFFFFF,
272,Plutarco Elias Calles con Galeana,#42f581,#c6cc14,#f54242,#00FFFFFF,
273,Corregidora con Callejon De Los Ayala,#42f581,#c6cc14,#f54242,#00FFFFFF,
274,Cobalto con Potasio,#42f581,#c6cc14,#f54242,#00FFFFFF,
275,Morones Prieto con Maria Cantu,#42f581,#c6cc14,#f54242,#00FFFFFF,
276,Humberto Lobo con Rio Navia,#42f581,#c6cc14,#f54242,#00FFFFFF,
277,Rio Moctezuma con Rio Colorado,#42f581,#c6cc14,#f54242,#00FFFFFF,
278,Real San Agustin con Montes Altos,#42f581,#c6cc14,#f54242,#00FFFFFF,
279,Calzada San Pedro con Via Savotino,#42f581,#c6cc14,#f54242,#00FFFFFF,
280,Grafito con Potasio,#42f581,#c6cc14,#f54242,#00FFFFFF,
281,Corregidora con Callejon De Capellania,#42f581,#c6cc14,#f54242,#00FFFFFF,
282,Roberto Garza Sada con Perseverancia,#42f581,#c6cc14,#f54242,#00FFFFFF,
283,Eugenio Garza Laguera con Lomas Del Sol,#42f581,#c6cc14,#f54242,#00FFFFFF,
284,Montes Rocallosos con Sierra Nevada,#42f581,#c6cc14,#f54242,#00FFFFFF,
285,Guillermo Prieto con 16 De Sep.,#42f581,#c6cc14,#f54242,#00FFFFFF,
286,Gomez Morin con Priv. Magdalena,#42f581,#c6cc14,#f54242,#00FFFFFF,
287,Morones Prieto con Davila Reyes,#42f581,#c6cc14,#f54242,#00FFFFFF,
288,Genaro Garza Garcia con 2 De Abril,#42f581,#c6cc14,#f54242,#00FFFFFF,
289,Bosques Del Valle con Bosques De Austria,#42f581,#c6cc14,#f54242,#00FFFFFF,
290,Guillermo Prieto con 2 De Abril,#42f581,#c6cc14,#f54242,#00FFFFFF,
291,Hidalgo con 5 De Mayo,#42f581,#c6cc14,#f54242,#00FFFFFF,
292,Eugenio Garza Laguera con Pedro Ramirez Vazquez,#42f581,#c6cc14,#f54242,#00FFFFFF,
293,Porfirio Diaz con Treviño,#42f581,#c6cc14,#f54242,#00FFFFFF,
294,Santa Barbara con 5 De Mayo,#42f581,#c6cc14,#f54242,#00FFFFFF,
295,Rio Bravo con Rio Guadalquivir,#42f581,#c6cc14,#f54242,#00FFFFFF,
296,Roberto Garza Sada con Francisco Beltran,#42f581,#c6cc14,#f54242,#00FFFFFF,
297,Rio Suchiate con Via Angelica,#42f581,#c6cc14,#f54242,#00FFFFFF,
298,Gomez Morin con Sauces,#42f581,#c6cc14,#f54242,#00FFFFFF,
