interseccion,lat,lon,tipo,hora_matutino,vehiculos_matutino,ciclistas_matutino,peatones_matutino,hora_mediodia,vehiculos_mediodia,ciclistas_mediodia,peatones_mediodia,hora_vespertino,vehiculos_vespertino,ciclistas_vespertino,peatones_vespertino,nivel_servicio_color,nivel_servicio,demora_promedio,icu_maximo,vc_maxima,propuestas,fecha,dibujo_volumen,dibujo_propuesta,nivel_servicio_class
Jimenez Con L. Garza Ayala,25.66357125,-100.4092088,semaforizada,07:15 - 08:15,1287,3,79,12:45 - 13:45,1097,1,83,18:30 - 19:30,1456,1,107,#7cde0d,B,11.5,0.429,0.51,"Este cruce presenta una operación estable, no requiere algún cambio en cuanto a su capacidad. Se recomienda reducir la sección vial de la Av. Jiménez, esta cuenta con carriles muy amplios los cuales pueden ser ajustado para ampliar sus banquetas, asimismo, se podrían ampliar esquinas ubicadas el oriente para reducir el espacio peatonal.",12/06/2020,f13-1,f114-1,A - C
Jimenez Con 5 De Mayo,25.66108266,-100.4101147,semaforizada,07:15 - 08:15,1223,3,93,13:30 - 14:30,1037,2,65,18:30 - 19:30,1354,1,79,#00a806,A,7.5,0.354,0.65,"Este cruce presenta una operación estable, no requiere algún cambio en cuanto a su capacidad. Se recomienda colocar semáforos peatonales y ampliar esquinas oriente para reducir distancia de cruce peatonal. Asimismo, se podrán colocar zonas de espera para la protección de los ciclistas.",15/06/2020,f14-1,f115-1,A - C
Jose Vasconcelos Con Jimenez ,25.66443901,-100.4089525,semaforizada,07:45 - 08:45,2514,7,83,13:30 - 14:30,1261,8,48,18:30 - 19:30,1375,2,83,#f54242,F,171.6,0.74,2.28,"Se requiere la ampliación a la sección vial de la zona oriente de la Av. Vasconcelos, a 5 carriles de circulación. Esta ampliación alinea la avenida con la zona oriente y mejora el nivel de servicio y demora del cruce, de F a D. Aunado a lo anterior, se requiere marcas en el pavimento, colocar poste de semáforo y colocar nuevo señalamiento vertical.",12/06/2020,f15-1,f116-1,F
Jose Vasconcelos Con Allende,25.6637421,-100.4070182,semaforizada,08:00 - 09:00,1169,6,68,12:45 - 13:45,501,3,46,18:30 - 19:30,552,2,31,#00a806,A,4.9,0.436,0.46,"Este cruce presenta una operación estable, no requiere algún cambio en su capacidad. El municipio planea la ampliación de la Av. Vasconcelos a 5 carriles de circulación, esto obliga a modificar sustancialmente la geometría y señalización de la intersección, con nuevos semáforos vehiculares/peatonales, camellones centrales y señalética.",15/06/2020,f16-1,f117-1,A - C
Jose Vasconcelos Con Guerrero,25.6619297,-100.4017379,semaforizada,08:30 - 09:30,1272,4,32,12:45 - 13:45,1381,2,21,17:45 - 18:45,1412,8,43,#00a806,A,8.4,0.491,0.45,"Este cruce ha sido modificado recientemente por las autoridades municipales. Se recomienda ampliar las banquetas sobre la calle que cruza Vasconcelos para reducir cruce peatonal, actualmente se han colocado delineadores para evitar el paso del vehículo, sin embargos estos no protegen totalmente al peatón.",16/06/2020,f17-1,f118-1,A - C
Real San Agustin Con Montes Rocallosos,25.65195359,-100.3390881,semaforizada,08:30 - 09:30,1567,9,194,13:15 - 14:15,2118,4,29,18:30 - 19:30,2268,4,103,#ded70d,C,29.1,0.709,0.83,"Este cruce ha sido modificado recientemente por las autoridades municipales. Se recomienda ampliar la esquina sur-poniente para reducir radio de giro, asimismo, ampliar el camellón central sur de la Av. Real de San Agustín, y el rediseño de las entradas del centro comercial Plaza Fiesta San Agustín, el cual presenta un diseño amplio y confuso.",03/07/2020,f18-1,f119-1,A - C
Real San Agustin Con Batallon De San Patricio,25.647961,-100.339515,semaforizada,08:30 - 09:30,1473,28,77,13:15 - 14:15,1876,4,46,18:30 - 19:30,2097,9,57,#7cde0d,B,15,0.611,0.81,"Se recomienda modificar la zona central de la Av. Real de San Agustín, colocando camellones para la protección al peatón y evitar los giros de retornos en zonas prohibidas. Asimismo, es necesaria la colocación de semáforos peatonales, marcas en el pavimento y señalamiento faltante.",07/07/2020,f19-1,f120-1,A - C
Jose Vasconcelos Con Real San Agustin,25.65394804,-100.3387008,semaforizada,08:30 - 09:30,2943,1,22,12:00 - 13:00,2193,1,6,17:15 - 18:15,3118,1,10,#7cde0d,B,12.8,0.502,0.61,"Este cruce presenta zonas las cuales deben ser modificadas para la seguridad del peatón, el cual pocas veces utiliza los espacios señalados. Se observan peatones cruzando la vía en puntos sin alguna protección, ya que estos ofrecen menor distancia de recorrido. Se recomienda construir una losa en el puente ubicado entre el hotel MS y la PFSA, esta losa ayuda a reducir la distancia de recorrido y mejora la seguridad del peatón.",03/07/2020,f20-1,f121-1,A - C
Real San Agustin Con Lampazos,25.6450978,-100.339034,semaforizada,07:15 - 08:15,1480,12,25,13:15 - 14:15,1869,4,8,18:30 - 19:30,1986,7,9,#00a806,A,7.6,0.447,0.5,"Este cruce presenta una operación estable sin necesidad de cambios para ampliar su capacidad. Se recomienda, considerando la proximidad con el Instituto San Roberto, subir la rasante de la intersección la cual puede ser diseñada como cruce a nivel, esto ayuda a disminuir la velocidad vehicular y facilita el cruce peatonal.",07/07/2020,f21-1,f122-1,A - C
Lazaro Cardenas Con Diego Rivera,25.65160953,-100.333921,semaforizada,07:45 - 08:45,5085,3,78,13:15 - 14:15,5284,0,43,17:00 - 18:00,5044,3,423,#ded70d,C,32,0.682,0.94,Este cruce requiere una modificación en su geometría; presenta amplios giros de vuelta derecha en su zona sur y se pierde uno de los tres carriles de vuelta izquierda desde el sur de la calle Diego Rivera hacia la lateral norte de Lázaro Cárdenas. Estos cambios se recomiendan para mitigar problemas de seguridad vial .,15/01/2020,f22-1,f123-1,A - C
Batallon De San Patricio Con Diego Rivera,25.6483932,-100.3347856,semaforizada,08:30 - 09:30,2252,4,54,13:15 - 14:15,2383,1,80,17:00 - 18:00,2042,4,38,#00a806,A,7,0.591,0.81,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda la reubicación de lo cruces peatonales, estos actualmente se encuentran trazados al centro de la rotonda, lo cual puede generar inseguridad al peatón, se recomienda colocarlos frente a la zona de alto de los vehículos. Ver diagrama anexo al final de este reporte.",08/06/2020,f23-1,f124-1,A - C
Eugenio Garza Laguera Con Lomas Del Campestre,25.63919958,-100.333855,semaforizada,07:30 - 08:30,2568,14,4,13:30 - 14:30,2912,1,2,17:45 - 18:45,3199,1,1,#ded70d,C,21.6,0.7,0.83,"El diseño de la intersección con la calle Lomas del Campestre permite altas velocidades en vuelta derecha desde el sur de la calle Garza Lagüera, se recomienda revisar el diseño de la zona oriente del cruce para reducir radios de giro y mejorar el cruce peatonal, será necesaria la cancelación de vueltas derechas continuas y la colocación de nuevas marcas en el pavimento.",15/01/2020,f24-1,f125-1,A - C
Eugenio Garza Laguera Con Batallon De San Patricio,25.64345432,-100.3324125,semaforizada,07:30 - 08:30,3505,17,110,13:30 - 14:30,3599,3,20,17:00 - 18:00,4040,1,47,#a88400,D,36,0.76,1,"Se recomienda el rediseño de la intersección al quitar su isleta central y ampliar sus esquinas. Esto favorece al giro en vuelta izquierda y disminuye el recorrido del peatón, el cual se encuentra desprotegido en algunos de sus cruces. Con este cambio se recuperan aproximadamente 1,500 m2 para la zona de banquetas.",14/01/2020,f25-1,f126-1,D - E
Eugenio Garza Laguera Con Rufino Tamayo,25.64310199,-100.3268706,semaforizada,08:30 - 09:30,3413,17,46,13:30 - 14:30,3411,0,8,17:45 - 18:45,4138,0,14,#7cde0d,B,13,0.861,0.74,"Al igual que en el cruce 25, se recomienda el rediseño de la intersección al quitar su isleta central y ampliar sus esquinas. Esto favorece al giro en vuelta izquierda y disminuye el recorrido del peatón, el cual se encuentra desprotegido en algunos de sus cruces. Con este cambio se recuperan aproximadamente 3,000 m2 para la zona de banquetas.",14/01/2020,f26-1,f127-1,A - C
Alfonso Reyes Con Real San Agustin,25.6381474,-100.337812,rotonda,08:30 - 09:30,4070,16,8,13:30 - 14:30,4603,6,2,18:30 - 19-45,5250,7,4,#f54242,F,247.6,1.419,3.19,"La rotonda se encuentra actualmente en nivel de saturación con largas filas a lo largo de la Av. Alfonso Reyes, particularmente para el turno vespertino en su sentido poniente oriente. Se recomienda cambiar la rotonda a un cruce semaforizado simple el cual permita las vueltas izquierdas de forma directa y facilite el cruce peatonal, cabe mencionar que la rotonda limita al sur con el Colegio Inglés y con zonas comerciales.",22/01/2020,f27-1,f128-1,F
Lazaro Cardenas Con Pedro Ramirez Vazquez,25.64116978,-100.3173107,semaforizada,08:30 - 09:30,8633,1,174,13:00 - 14:00,8225,0,37,17:00 - 18:00,7393,1,156,#ded70d,C,26.8,0.746,0.91,"Para mejorar la operación de esta intersección se requiere la prolongación del carril de incorporación el cual conecta al poniente con Lázaro Cárdenas, este carril debe medir aproximadamente 100 metros adicionales. A largo plazo, se podrá construir el cuerpo norte del paso a desnivel (sentido poniente oriente) de Lázaro Cárdenas, el cual permita el cruce de norte a sur de vehículos de  ese sector de Valle Oriente. ",15/01/2020,f28-1,f129-1,A - C
Alfonso Reyes Con Dublin,25.64238406,-100.3488363,semaforizada,08:30 - 09:30,2959,3,4,13:15 - 14:15,3027,0,1,17:15 - 18:15,3417,93,2,#7cde0d,B,11,0.715,0.88,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda la colocación de un sendero peatonal en la zona poniente de la intersección, la cual no cuenta con una zona pavimentada para peatones dentro del amplio camellón central.",11/02/2020,f29-1,f130-1,A - C
Ricardo Margain Con De La Industria,25.64582583,-100.3528054,semaforizada,08:30 - 09:30,2744,6,38,13:30 - 14:30,2043,2,16,18:30 - 19:30,2189,3,79,#7cde0d,B,19.6,0.684,1.02,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Este cruce se encuentra actualmente en remodelación; se proyecta reducir el ancho de sus carriles, construir nuevos camellones y ampliar banquetas. Es imperativo mantener los tres carriles de salida para la Av. De la Industria, una reducción a dos carriles saturaría la salida de la zona del parque de oficinas ubicado al poniente.",22/11/2019,f30-1,f131-1,A - C
Ricardo Margain Con Sofia,25.64845567,-100.3527718,semaforizada,08:30 - 09:30,2578,1,208,13:30 - 14:30,2139,0,113,17:00 - 18:00,1865,0,244,#00a806,A,6,0.501,0.6,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda pintar adecuadamente los cruces peatonales y flechas direccionales.",22/11/2019,f31-1,f132-1,A - C
Ricardo Margain Con Roble,25.6501778,-100.352801,semaforizada,08:30 - 09:30,3478,1,443,13:30 - 14:30,3197,0,230,17:15 - 18:15,2872,1,180,#a83200,E,61.7,0.793,1.53,"Este cruce ha sido modificado por las autoridades municipales y por el fideicomiso VDC. El cruce presenta una operación estable, sin embargo se observan aun problemas de seguridad en la zona oriente de la Roble, dentro del acceso a Cemex/Equus, se tienen vehículos realizando maniobras prohibidas y peatones que no utilizan los cruces establecidos. Se recomienda el rediseño de la zona oriente para reducir problemas de inseguridad.",27/11/2019,f32-1,f133-1,D - E
Ricardo Margain Con Palmas,25.6550026,-100.3527331,semaforizada,08:30 - 09:30,1993,2,12,13:30 - 14:30,2665,2,16,17:00 - 18:00,2475,5,33,#00a806,A,7.2,0.581,0.64,"Por si sólo, este cruce presenta una operación estable, con cortas demoras promedio. Con el impacto de congestionamiento al norte en Monterrey (Gonzalitos), este cruce estaría sobresaturado con largas filas en Ricardo Margáin. Se recomienda pintar cruces peatonales y flechas direccionales, es factible además la ampliación de una de las esquinas de la calle Palmas al cancelar uno de los tres carriles de salida hacia Ricardo Margáin.",26/06/2020,f33-1,f134-1,A - C
Ricardo Margain Con Rio Missouri,25.657925,-100.352673,semaforizada,08:30 - 09:30,2255,2,34,13:30 - 14:30,3022,3,33,17:00 - 18:00,2935,7,50,#7cde0d,B,14.7,0.697,0.75,"Se recomienda el cambio de sentido de circulación de la calle Río Missouri, la cual presenta el sentido inglés. Es necesario el cambio para evitar confusiones al conductor y/o peatón, este cambio no modifica los niveles de servicio de la intersección.",26/06/2020,f34-1,f135-1,A - C
Jose Vasconcelos Con Ricardo Margain,25.6531913,-100.3527601,semaforizada,08:30 - 09:30,4749,0,376,12:45 - 13:45,4848,0,78,17:15 - 18:15,5025,4,272,#a88400,D,40.4,1.121,1.03,"Se propone el rediseño total de la intersección para ampliar las laterales oriente de Vasconcelos. Este rediseño permite agregar un carril para la vuelta izquierda hacia el sur de Ricardo Margáin y mejorar los cruces peatonales y el diseño de la parada de autobús ubicada en el retorno oriente. Este rediseño requiere el cambio de las rampas del paso a desnivel, construcción de losas y cambios en la rasante de la zona oriente de Vasconcelos.",26/06/2020,f35-1,f136-1,D - E
Olivos Con Rio Missouri,25.65831955,-100.3540015,semaforizada,08:30 - 09:30,462,4,34,13:15 - 14:15,1002,3,22,17:15 - 18:15,849,0,31,#00a806,A,6.1,0.308,0.44,"Se recomienda el cambio de sentido de circulación de la calle Río Missouri, la cual presenta el sentido inglés. Es necesario el cambio para evitar confusiones al conductor y/o peatón, este cambio no modifica los niveles de servicio de la intersección.",26/06/2020,f36-1,f137-1,A - C
Gomez Morin Con Via Collatina,25.6610277,-100.3555583,semaforizada,08:00 - 09:00,3684,3,53,12:30 - 13:30,2802,3,29,17:00 - 18:00,2822,4,33,#7cde0d,B,14.3,0.703,0.91,"Este semáforo se ubica al final de una rampa descendente de una avenida de alta capacidad, el punto no es ideal para la colocación de un semáforo, sin embargo obliga al conductor a ingresar al municipio con una menor velocidad, es posible que el conductor no advierta el semáforo y pueda causar un accidente. Es necesaria la colocación de mayor señalamiento vertical para indicar al conductor la proximidad del semáforo, asimismo, se recomienda colocar marcas indicando el semáforo en funcionamiento.",03/07/2020,f37-1,f138-1,A - C
Gomez Morin Con Rio Panuco,25.6593627,-100.3560353,semaforizada,08:00 - 09:00,3770,2,73,12:30 - 13:30,2942,2,61,17:00 - 18:00,2769,2,65,#00a806,A,4.2,0.751,0.7,"Este semáforo sirve exclusivamente a la plaza comercial Punto Valle, su cercanía con la calle Río Missouri, donde se tiene otro semáforo, es confuso para el conductor. Se recomienda el retiro del semáforo, donde Punto Valle deberá proponer un diseño diferente de sus entradas/salidas.",26/06/2020,f38-1,f139-1,A - C
Gomez Morin Con Rio Missouri,25.6589394,-100.3561615,semaforizada,08:00 - 09:00,3870,3,94,13:15 - 14:15,3299,5,106,17:00 - 18:00,2961,2,80,#00a806,A,5.7,0.652,0.75,"La principal problemática de este cruce es el horario pico del local Pollo Loco ubicado al poniente de Río Missouri, las filas formadas en este local bloquean toda la intersección impactando significativamente la operación vial de la zona, es necesario que el municipio obligue la reubicación del local o mejoras a su sistema de atención. Asimismo, se recomienda el cambio de sentido de circulación de la calle Río Missouri, la cual presenta el sentido inglés. Es necesario el cambio para evitar confusiones al conductor y/o peatón, este cambio no modifica los niveles de servicio de la intersección.",26/06/2020,f39-1,f140-1,A - C
Gomez Morin Con Rio Mississippi,25.656211,-100.3569801,semaforizada,08:30 - 09:30,4050,3,76,13:00 - 14:00,3662,1,90,17:00 - 18:00,3220,4,70,#7cde0d,B,17,0.716,0.87,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda pintar adecuadamente las marcas peatonales y flechas direccionales.",03/06/2020,f40-1,f141-1,A - C
Gomez Morin Con Calzada Del Valle,25.6531846,-100.3582344,semaforizada,08:30 - 09:30,9308,2,346,13:15 - 14:15,9530,1,291,18:30 - 19:30,9385,3,488,#f54242,F,124.4,0.897,1.23,"El cruce presenta actualmente problemas de seguridad vial, el trazo de Gómez Morín confunde a los conductores los cuales invaden carriles, resultando en accidentes. Es necesario alinear esta avenida para que el conductor o ciclista circulen cómodamente.",07/11/2019,f41-1,f142-1,F
Gomez Morin Con Roble,25.650217,-100.3586787,semaforizada,08:30 - 09:30,2411,3,735,12:30 - 13:30,3286,0,846,17:00 - 18:00,2973,0,685,#ded70d,C,34,0.714,1.1,"Este cruce ha experimentado modificaciones a lo largo de dos años, desde el 2019 se han realizado cambios, ya sea de forma temporal o permanente. Estos cambios no han sido completados en su totalidad, faltando mejoras a la acera ubicada en el centro comercial Paseo San Pedro, donde el peatón debe cruzar zonas con alto flujo vehicular.

Asimismo, se observan zonas con pequeños radios de giro los cuales son un obstáculo para algunos vehículos, los cordones ya han sido dañados y podrán requerir reparación.",26/11/2019,f42-1,f143-1,A - C
Gomez Morin Con Magnolia,25.64636187,-100.3599117,semaforizada,08:30 - 09:30,2685,16,77,12:45 - 13:45,3556,5,45,17:30 - 18:30,3436,2,88,#ded70d,C,23.8,0.615,0.86,"Con la cancelación de la salida del HEB hacia el norte de Gómez Morín en su cruce con Roble, se impacto al giro en retorno norte de este cruce, las filas son muy largas y la demora puede ser alta durante el periodo de medio día y vespertino. Se recomienda ampliar la salida de la lateral hacia el retorno a dos carriles de circulación, esto disminuye demoras y mejora el nivel de servicio de ese movimiento. Ver figura anexa.",23/06/2019,f43-1,f144-1,A - C
Alfonso Reyes Con Gomez Morin,25.6400588,-100.36181,semaforizada,08:30 - 09:30,3446,1,61,13:30 - 14:30,4085,22,32,17:30 - 18:30,4262,81,103,#a83200,E,71,0.788,1.33,"Este cruce presenta una elevada demora, es un punto de gran importancia para el municipio, donde se tienen vías de alta capacidad. Es recomendable el rediseño del camellón central norte para mejorar el cruce peatonal, asimismo, se recomienda mejoras al señalamiento existente. La ampliación de la rama oriente de la Av. Alfonso Reyes podrá disminuir la demora promedio y las largas filas de esa rama, esta ampliación es necesaria, mínimo para el sentido oriente a poniente.",27/11/2019,f44-1,f145-1,D - E
Gomez Morin Con Roberto Garza Sada,25.6352779,-100.363352,semaforizada,08:30 - 09:30,2706,11,58,13:15 - 14:15,2631,2,26,17:15 - 18:15,2564,2,182,#a88400,D,45.8,0.739,0.85,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda pintar adecuadamente los cruces peatonales y flechas direccionales.",27/11/2019,f45-1,f146-1,D - E
Roberto Garza Sada Con Bosques Del Valle,25.6363663,-100.373806,semaforizada,08:30 - 09:30,1151,19,38,13:00 - 14:00,1441,7,11,17:00 - 18:00,1783,10,28,#7cde0d,B,15.8,0.551,0.66,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda modificar los amplios radios de giro y la colocación de un camellón central en la rama norte, esto ayuda a disminuir velocidades y a recortar la distancia de cruce peatonal.",01/06/2020,f46-1,f147-1,A - C
Roberto Garza Sada Con Lomas Del Valle,25.6389381,-100.382605,semaforizada,08:30 - 09:30,1051,16,25,12:30 - 13:30,1534,8,43,17:00 - 18:00,1596,11,23,#ded70d,C,21.7,0.476,0.48,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda colocar camellón central sobre Lomas del Valle para facilitar cruce peatonal, asimismo, es necesario colocar el señalamiento horizontal faltante, ver figura anexa al final del reporte.",01/06/2020,f47-1,f148-1,A - C
Roberto Garza Sada Con Rio Suchiate,25.6393621,-100.384033,semaforizada,08:30 - 09:30,826,18,30,12:30 - 13:30,1163,2,11,17:00 - 18:00,1287,9,28,#7cde0d,B,15.7,0.401,0.5,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda colocar un camellón central en la rama poniente de Roberto Garza Sada, asimismo, es necesario colocar el señalamiento horizontal faltante, ver figura anexa al final del reporte.",01/06/2020,f48-1,f149-1,A - C
Alfonso Reyes Con Rio Akumal,25.6390177,-100.356325,semaforizada,08:30 - 09:30,2188,32,1,12:15 - 13:15,2360,16,1,17:30 - 18:30,2868,79,1,#ded70d,C,24.2,0.868,0.88,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se propone ampliar la esquina nor-poniente de la intersección para reducir el recorrido peatonal, asimismo, es necesario colocar el señalamiento horizontal faltante, ver figura anexa al final del reporte.",07/02/2020,f49-1,f150-1,A - C
Alfonso Reyes Con Jeronimo Siller,25.641176,-100.369308,semaforizada,08:30 - 09:30,2846,30,7,13:30 - 14:30,3092,15,13,17:30 - 18:30,3498,76,8,#a83200,E,66.9,0.723,0.72,"Este cruce presenta una elevada demora la cual se refleja en las filas formadas a lo largo de la Av. Alfonso Reyes, en especial en la zona oriente. Se recomienda optimizar el tiempo del semáforo para reducir el destinado a Jerónimo Siller, con un cambio en las fases se modifica el nivel de servicio a C con demora de 34.8 seg/veh.",07/02/2020,f50-1,f151-1,D - E
Alfonso Reyes Con Bosques Del Valle,25.64223388,-100.3729605,semaforizada,08:30 - 09:30,2387,30,5,13:15 - 14-15,2868,5,1,17:00 - 18:00,3316,75,1,#ded70d,C,25.4,0.62,0.82,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se propone ampliar las esquinas norte de Bosques del Valle para reducir el recorrido peatonal, asimismo, es necesario construir camellones y colocar el señalamiento horizontal faltante, ver figura anexa al final del reporte.",07/02/2020,f51-1,f152-1,A - C
Alfonso Reyes Con Sierra Azul,25.6448346,-100.377469,semaforizada,08:30 - 09:30,2186,32,4,13:15 - 14:15,2694,5,8,17:30 - 18:30,2620,82,4,#7cde0d,B,11.4,0.551,0.71,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se propone construir una isleta para el carril de vuelta derecha hacia el norte de Sierra Azul, asimismo, es necesario colocar el señalamiento horizontal faltante, ver figura anexa al final del reporte.",07/02/2020,f52-1,f153-1,A - C
